diff_x		diff_y		diff_z		diff_roll	diff_pitch	diff_yaw
179	     42.2049	     78.2562	    120.4611	     -0.1107	     -0.0036	      0.0336	     -0.0043	      0.0378	     -0.0028
1710	     42.2049	     98.3020	    140.5069	     -0.0758	     -0.0011	      0.0178	     -0.0030	      0.0119	     -0.0027
1711	     42.2049	    161.1121	    203.3170	     -0.0806	     -0.0003	      0.0692	     -0.0034	     -0.0036	      0.0009
1712	     42.2049	    165.5253	    195.6716	     -0.0652	      0.0017	      0.0990	     -0.0030	     -0.0292	      0.0036
1713	     42.2049	    174.5070	    216.7119	     -0.0738	      0.0005	      0.0801	     -0.0032	     -0.0141	      0.0019
1714	     42.2049	    185.3846	    227.5895	     -0.0602	      0.0020	      0.0962	     -0.0028	     -0.0328	      0.0036
189	     90.0661	     41.2725	    120.4611	     -0.0988	     -0.0000	     -0.0317	      0.0005	     -0.0209	     -0.0025
1810	     90.0661	     57.2781	    140.5069	     -0.0866	     -0.0002	     -0.0174	      0.0001	     -0.0048	     -0.0021
1811	     90.0661	    113.2509	    203.3170	     -0.0243	      0.0001	      0.0406	     -0.0014	      0.0435	     -0.0003
1812	     90.0661	    136.0626	    195.6716	      0.0262	      0.0037	      0.0531	     -0.0012	      0.0025	      0.0010
1813	     90.0661	    126.6458	    216.7119	     -0.0135	      0.0008	      0.0435	     -0.0014	      0.0351	      0.0000
1814	     90.0661	    137.5233	    227.5895	     -0.0100	      0.0023	      0.0320	     -0.0009	      0.0033	      0.0000
1910	    120.4611	     20.0458	    140.5069	     -0.0620	      0.0000	     -0.0037	     -0.0007	      0.0080	     -0.0021
1911	    120.4611	     82.8559	    203.3170	      0.0091	      0.0008	      0.0349	     -0.0018	      0.0502	     -0.0013
1912	    120.4611	     94.7901	    195.6716	      0.0710	      0.0042	      0.0145	      0.0010	      0.0377	     -0.0004
1913	    120.4611	     96.2508	    216.7119	      0.0199	      0.0015	      0.0298	     -0.0012	      0.0466	     -0.0011
1914	    120.4611	    107.1284	    227.5895	      0.0083	      0.0023	      0.0048	      0.0003	      0.0225	     -0.0012
11011	    140.5069	     62.8101	    203.3170	      0.0248	      0.0013	      0.0342	     -0.0022	      0.0497	     -0.0018
11012	    140.5069	     78.7846	    195.6716	      0.0720	      0.0037	      0.0020	      0.0020	      0.0524	     -0.0006
11013	    140.5069	     76.2050	    216.7119	      0.0320	      0.0018	      0.0257	     -0.0012	      0.0487	     -0.0016
11014	    140.5069	     87.0826	    227.5895	      0.0100	      0.0021	     -0.0022	      0.0009	      0.0311	     -0.0012
11112	    203.3170	     28.5924	    195.6716	     -0.1794	     -0.0053	      0.0335	      0.0050	      0.0782	      0.0057
11113	    203.3170	     14.0165	    216.7119	      0.0216	     -0.0002	      0.0070	      0.0016	      0.1022	     -0.0008
11114	    203.3170	     24.2725	    227.5895	      0.1588	      0.0327	      0.6015	     -0.0778	     -0.9389	     -0.0253
11213	    195.6716	     21.0403	    216.7119	     -0.2400	     -0.0044	      0.1288	     -0.0014	     -0.0185	      0.0080
11214	    195.6716	     31.9178	    227.5895	     -0.1117	      0.0048	      0.2423	     -0.0135	     -0.1839	      0.0060
11314	    216.7119	     10.8776	    227.5895	     -0.0108	      0.0047	      0.0927	     -0.0077	     -0.0864	     -0.0009
234	     48.9801	     52.3676	    101.3477	     -0.1398	     -0.0005	      0.1127	     -0.0009	      0.0220	     -0.0027
235	     48.9801	    147.3753	     98.3952	      0.0055	      0.0000	      0.0312	      0.0007	     -0.0244	      0.0010
236	     48.9801	    130.8103	     81.8303	      0.0626	      0.0006	      0.0067	      0.0007	     -0.0216	      0.0024
237	     48.9801	     95.1630	     51.3420	      0.0670	      0.0012	      0.0164	     -0.0001	      0.0090	      0.0024
238	     48.9801	     65.7004	     16.7204	     -0.1716	     -0.0005	      0.1327	     -0.0014	      0.0384	     -0.0035
239	     48.9801	     24.4279	     26.9142	      1.5924	      0.0070	     -0.9508	      0.0176	     -0.4886	      0.0423
2310	     48.9801	     11.0329	     46.9599	      3.2622	      0.0704	     -0.8874	     -0.0536	      2.3740	      0.0732
2311	     48.9801	     73.8430	    109.7700	     -0.0469	      0.0009	      0.0831	     -0.0014	      0.0513	     -0.0006
2312	     48.9801	     70.3622	    119.3423	      0.0002	      0.0004	      0.0425	      0.0000	     -0.0009	      0.0008
2313	     48.9801	     87.2380	    123.1650	     -0.0224	      0.0010	      0.0681	     -0.0011	      0.0406	      0.0001
2314	     48.9801	     98.1155	    134.0425	     -0.0141	      0.0004	      0.0511	     -0.0002	      0.0053	      0.0004
245	    101.3477	    199.7429	     98.3952	     -0.0690	     -0.0003	     -0.0390	      0.0007	     -0.0058	     -0.0007
246	    101.3477	    183.1780	     81.8303	     -0.0611	      0.0003	     -0.0385	      0.0005	      0.0031	     -0.0007
247	    101.3477	    147.5307	     51.3420	     -0.1201	     -0.0017	      0.0347	      0.0003	     -0.0107	     -0.0019
248	    101.3477	    118.0681	     16.7204	     -0.1450	     -0.0004	      0.1281	     -0.0011	      0.0270	     -0.0028
249	    101.3477	     76.7955	     26.9142	     -0.0057	      0.0015	     -0.1269	      0.0010	      0.0030	      0.0006
2410	    101.3477	     60.7900	     46.9599	     -0.0533	      0.0003	     -0.0565	      0.0007	     -0.0007	     -0.0004
2411	    101.3477	     29.9910	    109.7700	     -0.0211	      0.0066	      0.0571	     -0.0027	      0.1133	     -0.0010
2412	    101.3477	     22.3456	    119.3423	      0.0809	      0.0004	     -0.3581	      0.0039	     -0.0587	      0.0033
2413	    101.3477	     43.3859	    123.1650	      0.0062	      0.0055	     -0.0347	     -0.0014	      0.0794	      0.0000
2414	    101.3477	     54.2634	    134.0425	     -0.0020	      0.0032	     -0.0846	     -0.0000	      0.0360	      0.0003
256	     98.3952	     20.2322	     81.8303	     -0.0702	      0.0076	     -0.0603	      0.0030	     -0.0934	     -0.0023
257	     98.3952	     52.2123	     51.3420	     -0.0086	      0.0088	     -0.0045	      0.0033	     -0.1187	     -0.0011
258	     98.3952	     81.6749	     16.7204	      0.0739	      0.0005	      0.0947	      0.0007	     -0.0438	      0.0026
259	     98.3952	    122.9474	     26.9142	     -0.1168	      0.0008	     -0.0877	      0.0011	     -0.0086	     -0.0021
2510	     98.3952	    138.9530	     46.9599	     -0.0796	      0.0000	     -0.0499	      0.0008	     -0.0070	     -0.0011
2511	     98.3952	    189.1451	    109.7700	     -0.0283	     -0.0033	      0.0071	     -0.0003	      0.0189	      0.0008
2512	     98.3952	    217.7375	    119.3423	     -0.0073	     -0.0009	      0.0213	      0.0004	     -0.0114	      0.0009
2513	     98.3952	    203.1616	    123.1650	     -0.0253	     -0.0038	      0.0112	     -0.0004	      0.0242	      0.0010
2514	     98.3952	    206.8289	    134.0425	     -0.0137	     -0.0025	      0.0191	     -0.0000	      0.0073	      0.0010
267	     81.8303	     35.6473	     51.3420	      0.0270	      0.0402	     -0.1125	      0.0146	     -0.5441	     -0.0064
268	     81.8303	     65.1099	     16.7204	      0.2582	      0.0010	      0.0768	      0.0011	     -0.0585	      0.0072
269	     81.8303	    106.3825	     26.9142	     -0.1459	      0.0008	     -0.0719	      0.0005	      0.0103	     -0.0029
2610	     81.8303	    122.3880	     46.9599	     -0.0810	      0.0003	     -0.0461	      0.0004	      0.0059	     -0.0012
2611	     81.8303	    172.5801	    109.7700	     -0.0168	     -0.0023	     -0.0154	     -0.0004	      0.0315	      0.0010
2612	     81.8303	    201.1726	    119.3423	      0.0107	      0.0003	     -0.0118	      0.0006	     -0.0093	      0.0011
2613	     81.8303	    186.5966	    123.1650	     -0.0178	     -0.0026	     -0.0153	     -0.0005	      0.0345	      0.0010
2614	     81.8303	    190.2639	    134.0425	     -0.0103	     -0.0013	     -0.0156	     -0.0000	      0.0159	      0.0009
278	     51.3420	     47.8612	     16.7204	     -1.6449	     -0.0002	      0.0274	      0.0129	     -0.5217	     -0.0413
279	     51.3420	     78.2562	     26.9142	     -0.6034	     -0.0030	      0.0534	      0.0035	     -0.1446	     -0.0140
2710	     51.3420	     98.3020	     46.9599	     -0.5119	     -0.0045	      0.0567	      0.0023	     -0.0953	     -0.0114
2711	     51.3420	    161.1121	    109.7700	     -0.0360	     -0.0023	      0.0330	     -0.0005	      0.0249	      0.0004
2712	     51.3420	    165.5253	    119.3423	      0.0070	      0.0007	      0.0212	      0.0002	     -0.0025	      0.0009
2713	     51.3420	    174.5070	    123.1650	     -0.0250	     -0.0023	      0.0325	     -0.0006	      0.0286	      0.0007
2714	     51.3420	    185.3846	    134.0425	     -0.0129	     -0.0006	      0.0263	     -0.0001	      0.0087	      0.0007
289	     16.7204	     41.2725	     26.9142	     -0.7786	     -0.0020	      0.1720	     -0.0027	      0.0837	     -0.0187
2810	     16.7204	     57.2781	     46.9599	     -0.7550	     -0.0017	      0.1618	     -0.0017	      0.0472	     -0.0182
2811	     16.7204	    113.2509	    109.7700	     -0.0671	     -0.0003	      0.1248	     -0.0013	      0.0329	     -0.0009
2812	     16.7204	    136.0626	    119.3423	     -0.0183	     -0.0000	      0.1149	     -0.0006	      0.0075	      0.0003
2813	     16.7204	    126.6458	    123.1650	     -0.0340	     -0.0002	      0.1211	     -0.0011	      0.0269	     -0.0000
2814	     16.7204	    137.5233	    134.0425	     -0.0187	      0.0001	      0.1110	     -0.0002	     -0.0069	      0.0003
2910	     26.9142	     20.0458	     46.9599	     -0.8627	     -0.0031	      0.1836	     -0.0011	      0.0181	     -0.0207
2911	     26.9142	     82.8559	    109.7700	      0.0383	      0.0025	     -0.1197	     -0.0013	      0.0972	      0.0015
2912	     26.9142	     94.7901	    119.3423	      0.0513	      0.0016	     -0.1555	      0.0018	     -0.0230	      0.0021
2913	     26.9142	     96.2508	    123.1650	      0.0108	      0.0022	     -0.1150	     -0.0008	      0.0740	      0.0009
2914	     26.9142	    107.1284	    134.0425	     -0.0004	      0.0019	     -0.1192	      0.0000	      0.0408	      0.0007
21011	     46.9599	     62.8101	    109.7700	      0.0135	      0.0031	     -0.0532	     -0.0016	      0.0935	      0.0007
21012	     46.9599	     78.7846	    119.3423	      0.0237	      0.0001	     -0.0862	      0.0013	     -0.0215	      0.0016
21013	     46.9599	     76.2050	    123.1650	      0.0016	      0.0023	     -0.0565	     -0.0010	      0.0660	      0.0006
21014	     46.9599	     87.0826	    134.0425	     -0.0049	      0.0013	     -0.0640	     -0.0000	      0.0292	      0.0006
21112	    109.7700	     28.5924	    119.3423	     -0.0774	     -0.0069	      0.1041	      0.0004	     -0.0321	      0.0002
21113	    109.7700	     14.0165	    123.1650	     -0.0156	     -0.0016	     -0.0126	     -0.0006	      0.0393	      0.0008
21114	    109.7700	     24.2725	    134.0425	     -0.0102	     -0.0041	     -0.0444	      0.0001	      0.0174	      0.0015
